iter	RMSE
0	60460.25111
1	57930.75444
2	55358.35323
3	53094.05185
4	50885.64018
5	48718.50309
6	46715.97404
7	44800.47171
8	42912.83871
9	41000.5355
10	39260.3613
11	37630.36503
12	36077.47702
13	34620.61299
14	33215.48859
15	31920.36968
16	30624.75559
17	29368.08828
18	28165.70548
19	27013.09031
20	25924.88794
21	24863.975
22	23887.15225
23	22944.98151
24	22013.65664
25	21140.67534
26	20285.32959
27	19469.0222
28	18663.48758
29	17949.14874
30	17279.54592
31	16653.02041
32	15986.61382
33	15414.69486
34	14773.09803
35	14208.01862
36	13664.64029
37	13120.75444
38	12636.4694
39	12153.1898
40	11696.86018
41	11259.35839
42	10862.84499
43	10476.04591
44	10072.82972
45	9727.961407
46	9376.847106
47	9028.832137
48	8679.650309
49	8376.857794
50	8076.78672
51	7790.533926
52	7525.224287
53	7281.552437
54	7019.018695
55	6788.12125
56	6586.853525
57	6362.005951
58	6148.408802
59	5953.70989
60	5770.832667
61	5595.979658
62	5434.484799
63	5295.181799
64	5131.894461
65	4987.212981
66	4861.143669
67	4721.820271
68	4584.977417
69	4461.173299
70	4342.011667
71	4227.299161
72	4120.310797
73	4024.347275
74	3925.989161
75	3829.052789
76	3740.99201
77	3660.729936
78	3577.98897
79	3516.470101
80	3444.951943
81	3386.824087
82	3317.445437
83	3260.781217
84	3201.936481
85	3145.465129
86	3095.819942
87	3045.492334
88	2993.860464
89	2946.221517
90	2900.182952
91	2856.780408
92	2813.257077
93	2776.953064
94	2735.837927
95	2704.064931
96	2665.076115
97	2627.435271
98	2596.891066
99	2563.320996
100	2533.869847
101	2504.928201
102	2471.264293
103	2449.328564
104	2420.596847
105	2402.945102
106	2376.714796
107	2354.469533
108	2332.088466
109	2315.092028
110	2296.458366
111	2275.367192
112	2264.92568
113	2244.092187
114	2222.901137
115	2209.827469
116	2196.034342
117	2175.2569
118	2154.388393
119	2133.34594
120	2123.111945
121	2104.637787
122	2090.590157
123	2068.319191
124	2056.615593
125	2040.99563
126	2028.047245
127	2013.725035
128	2006.726097
129	1992.250951
130	1986.203104
131	1971.748244
132	1963.53798
133	1953.741721
134	1945.939691
135	1935.440029
136	1922.664568
137	1911.760301
138	1904.282119
139	1895.199608
140	1886.93688
141	1873.041685
142	1861.10309
143	1854.369879
144	1843.060792
145	1834.137311
146	1828.960087
147	1818.56893
148	1811.050901
149	1804.34866
150	1794.722806
151	1785.294672
152	1784.06683
153	1771.820075
154	1764.342256
155	1748.403645
156	1738.676984
157	1730.018215
158	1723.799762
159	1716.686414
160	1705.435869
161	1700.080103
162	1694.800399
163	1689.342088
164	1681.953146
165	1677.435143
166	1672.927997
167	1668.019123
168	1662.414652
169	1657.567631
170	1653.309574
171	1646.062314
172	1640.65357
173	1635.16631
174	1628.963341
175	1621.102344
176	1615.042578
177	1610.43318
178	1602.177991
179	1596.047321
180	1591.095003
181	1585.243232
182	1575.875717
183	1571.12851
184	1568.560337
185	1565.067532
186	1557.661381
187	1554.274492
188	1547.225012
189	1544.334388
190	1541.439426
191	1536.429142
192	1532.042803
193	1529.170356
194	1528.319636
195	1522.666056
196	1516.157398
197	1515.102451
198	1506.902738
199	1505.019067
200	1499.102275
201	1498.067443
202	1497.490516
203	1493.673335
204	1488.870102
205	1488.159883
206	1483.883461
207	1480.894251
208	1474.097541
209	1471.879544
210	1471.193692
211	1469.814729
212	1467.545775
213	1461.781038
214	1461.191454
