iter	Passed	Remaining
0	150	150751
1	153	76688
2	156	51955
3	159	39612
4	162	32255
5	165	27353
6	167	23732
7	170	21086
8	173	19063
9	176	17427
10	179	16114
11	181	14982
12	184	14015
13	187	13194
14	189	12470
15	192	11846
16	195	11309
17	198	10814
18	200	10359
19	203	9955
20	205	9585
21	208	9251
22	210	8960
23	213	8681
24	216	8425
25	218	8191
26	221	7972
27	223	7773
28	226	7589
29	229	7409
30	231	7241
31	234	7079
32	236	6932
33	239	6792
34	241	6663
35	244	6542
36	246	6424
37	249	6313
38	251	6208
39	254	6111
40	257	6019
41	259	5929
42	262	5846
43	265	5762
44	267	5684
45	270	5606
46	273	5535
47	275	5471
48	278	5402
49	280	5336
50	283	5274
51	285	5212
52	288	5158
53	291	5107
54	294	5053
55	296	4999
56	299	4947
57	301	4900
58	304	4849
59	306	4803
60	309	4757
61	311	4713
62	313	4669
63	316	4627
64	318	4585
65	321	4550
66	323	4511
67	326	4473
68	328	4438
69	331	4402
70	333	4366
71	336	4332
72	338	4302
73	341	4269
74	343	4237
75	346	4212
76	349	4183
77	351	4152
78	354	4127
79	356	4100
80	359	4073
81	361	4048
82	364	4023
83	366	3998
84	369	3975
85	371	3951
86	374	3927
87	376	3905
88	379	3881
89	381	3859
90	384	3838
91	386	3818
92	389	3796
93	391	3775
94	394	3755
95	396	3734
96	399	3714
97	401	3696
98	404	3677
99	406	3661
100	409	3642
101	411	3623
102	414	3606
103	416	3591
104	419	3574
105	421	3557
106	424	3540
107	426	3523
108	429	3506
109	431	3491
110	434	3476
111	436	3461
112	439	3446
113	441	3430
114	443	3414
115	446	3398
116	448	3386
117	451	3372
118	453	3358
119	456	3344
120	458	3331
121	460	3317
122	463	3305
123	466	3293
124	468	3280
125	471	3267
126	473	3254
127	475	3241
128	478	3228
129	480	3218
130	482	3202
131	485	3191
132	487	3179
133	490	3168
134	492	3157
135	495	3148
136	498	3138
137	500	3128
138	503	3117
139	505	3107
140	508	3096
141	510	3086
142	513	3078
143	516	3067
144	518	3057
145	520	3047
146	523	3037
147	525	3026
148	528	3020
149	531	3010
150	533	3002
151	536	2992
152	538	2982
153	541	2973
154	544	2969
155	547	2962
156	550	2954
157	552	2945
158	555	2936
159	557	2928
160	560	2921
161	563	2913
162	565	2905
163	568	2896
164	570	2889
165	573	2881
166	576	2873
167	578	2866
168	581	2858
169	583	2851
170	586	2843
171	589	2835
172	591	2829
173	594	2821
174	596	2813
175	599	2806
176	601	2798
177	604	2790
178	606	2783
179	609	2775
180	611	2768
181	614	2760
182	616	2753
183	619	2745
184	621	2739
185	624	2733
186	627	2726
187	629	2718
188	631	2711
189	634	2704
190	636	2697
191	639	2691
192	642	2685
193	644	2678
194	647	2671
195	649	2665
196	652	2661
197	655	2657
198	658	2650
199	660	2643
200	663	2636
201	665	2629
202	668	2623
203	670	2617
204	673	2611
205	675	2604
206	678	2597
207	680	2591
208	683	2585
209	685	2579
210	688	2573
211	690	2566
212	692	2560
213	695	2555
214	698	2549
215	700	2543
216	703	2538
217	705	2532
218	708	2525
219	710	2519
220	712	2513
221	715	2507
222	718	2502
223	720	2496
224	723	2490
225	725	2485
226	728	2479
227	730	2473
228	733	2468
229	735	2462
230	738	2457
231	740	2452
232	743	2446
233	745	2440
234	748	2435
235	750	2430
236	753	2424
237	755	2419
238	758	2414
239	760	2409
